2024/11/27 14:35:30.161	INFO	sys log Init success !
2024/11/27 14:35:30.188	INFO	sys event Init success !
2024/11/27 14:35:30.207	INFO	sys rpc Init success !
2024/11/27 14:35:30.237	INFO	init sys.db success!
2024/11/27 14:35:30.237	INFO	服务[api-ct3brcgleif695786l80] 初始化完成!
2024/11/27 14:35:30.240	DEBUG	[sys.rpc]	注册服务!	func:Rpc_GatewayHttpRoute
2024/11/27 14:35:30.240	INFO	服务[api-ct3brcgleif695786l80:1.0.0.0] 启动完成!
2024/11/27 14:35:30.272	DEBUG	启动模块【api】
2024/11/27 14:35:30.273	DEBUG	[sys.rpc]	TcpConnPool Start Listen !	Endpoints:["127.0.0.1:8101"]
2024/11/27 14:35:30.279	DEBUG	[sys.rpc]	发现节点!	nodes:{"tag":"admin","type":"api","id":"api-ct3bobgleif4os4eouig","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}
2024/11/27 14:35:30.279	DEBUG	[sys.rpc]	发现节点!	nodes:{"tag":"admin","type":"gateway","id":"gateway-ct3bobgleif68t04rdbg","version":"1.0.0.0","addr":"127.0.0.1:8001","meta":{}}
2024/11/27 14:35:30.282	DEBUG	[sys.rpc]	发现节点!	nodes:[{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}},{"tag":"admin","type":"gateway","id":"gateway-ct3brcgleif5do4ghiu0","version":"1.0.0.0","addr":"127.0.0.1:8001","meta":{}}]
2024/11/27 14:35:47.597	DEBUG	[sys.rpc]	丢失节点!	nodes:[{"tag":"admin","type":"api","id":"api-ct3bobgleif4os4eouig","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}},{"tag":"admin","type":"gateway","id":"gateway-ct3bobgleif68t04rdbg","version":"1.0.0.0","addr":"127.0.0.1:8001","meta":{}}]
2024/11/27 14:36:27.220	DEBUG	[sys.rpc]	AddClient Succ!	node:{"tag":"admin","type":"gateway","id":"gateway-ct3brcgleif5do4ghiu0","version":"1.0.0.0","addr":"127.0.0.1:8001","meta":null}
2024/11/27 14:36:27.220	DEBUG	[sys.rpc]	handleRequest	ServiceMethod:Rpc_GatewayHttpRoute	Form:{"tag":"admin","type":"gateway","id":"gateway-ct3brcgleif5do4ghiu0","version":"1.0.0.0","addr":"127.0.0.1:8001","meta":null}
2024/11/27 14:36:27.222	DEBUG	[module.api]	Login	token:eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhY2NvdW50IjoiYWRtaW4iLCJpZGVudGl0eSI6MSwiZXhwIjoxNzMyNzc1Nzg3fQ.OPm1N25tG9EHUZD2hgcWfqPsoL8XgnBQSv88ztXdGbk
2024/11/27 14:36:27.222	DEBUG	[Handle Http]	t:1	m:api.login	meta:null	req:{"account":"admin","password":"admin"}	reply:
2024/11/27 14:40:35.296	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:40:40.303	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:40:45.310	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:40:50.312	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:40:55.313	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:41:00.317	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:41:05.322	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:41:10.334	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:41:15.343	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
2024/11/27 14:41:20.344	ERROR	discovery/discovery.go:117	[sys.discovery]	discovery put 	nodePath:admin/api/api-ct3brcgleif695786l80	value:{"tag":"admin","type":"api","id":"api-ct3brcgleif695786l80","version":"1.0.0.0","addr":"127.0.0.1:8101","meta":{}}	err:context deadline exceeded
